epoch,train_loss,test_loss,train_acc,test_acc
0,4.675524414042988,4.405133935546875,1.75,3.72
1,4.455874160122688,4.067899998474121,3.672,7.94
2,4.2124998398754,3.7949574127197265,6.864,11.4
3,4.0561341574734735,3.6197806999206543,9.728,14.29
4,3.9181974263447326,3.4531035461425783,12.052,17.39
5,3.8158635398006195,3.3172160743713377,14.29,20.81
6,3.656494450386223,3.1251419151306155,17.62,23.75
7,3.604445932466356,2.9667513580322264,19.222,26.25
8,3.4628988074524627,2.8584087715148927,22.284,28.41
9,3.3831329321312475,2.747196910095215,24.024,30.85
10,3.2146195505586124,2.5281097747802734,27.764,34.83
11,3.1345257704215284,2.5139986236572267,29.806,35.39
12,3.010866625534604,2.2511638565063476,33.022,40.88
13,2.95765700303685,2.2980162828445434,34.236,39.76
14,2.8705370987162873,2.2158462799072267,36.73,41.43
15,2.774881112301136,2.0700840259552002,39.168,45.38
16,2.75393731209933,2.0280017362594602,40.376,46.51
17,2.669271022767362,2.1052268115997315,42.252,45.11
18,2.6210190012022054,2.1846693878173826,43.186,44.32
19,2.580777957311372,2.185927801513672,44.692,43.71
20,2.5732237914639056,2.169760243034363,45.07,43.64
21,2.484885667596022,2.177393476867676,47.926,44.92
22,2.534456462506443,1.8432458267211913,46.202,51.28
23,2.470782659547713,1.789041859436035,47.8,53.74
24,2.4141550161649503,1.8991533084869385,49.874,50.6
25,2.4200791086992033,1.6866398525238038,49.748,55.68
26,2.4089851037925465,1.7272005073547363,50.056,54.97
27,2.463899365166569,1.7302523365020752,48.17,54.48
28,2.442588660418225,1.823259241294861,49.344,54.39
29,2.386507033691992,1.7883336040496827,49.984,52.92
30,2.32850360839873,1.760327480697632,52.484,54.49
31,2.318088800401029,1.6260749355316162,52.118,57.27
32,2.3183358977822697,1.6199196056365968,52.452,57.6
33,2.311435479032414,1.8148106838226319,53.36,53.32
34,2.2880982584355736,1.8704986038208007,53.986,52.99
35,2.2863411726549154,1.7789991737365722,54.668,54.14
36,2.283106902066399,1.7109103328704833,53.48,55.85
37,2.284353850442735,1.8069032585144043,54.006,52.68
38,2.296944024617715,1.6289959968566894,53.748,58.0
39,2.24518916734954,1.6460660627365111,54.966,57.42
40,2.2018930363228253,1.6736185417175293,56.392,57.24
41,2.3018433724522898,1.7428003120422364,53.654,55.78
42,2.2443741383150106,1.6597388778686524,55.318,57.56
